番号	氏名	ふりがな	性別	出身中学校	備考
1	山田 太郎	やまだ たろう	男	桜中学校	特になし
2	佐藤 花子	さとう はなこ	女	青葉中学校	生徒会役員
3	鈴木 健太	すずき けんた	男	緑ヶ丘中学校	サッカー部
4	田中 美咲	たなか みさき	女	泉中学校	吹奏楽部
5	小林 大輔	こばやし だいすけ	男	若葉中学校	野球部
6	中村 陽菜	なかむら はるな	女	光中学校	美術部
7	伊藤 翔太	いとう しょうた	男	山中学校	陸上部
8	渡辺 結衣	わたなべ ゆい	女	川中学校	料理部
9	吉田 拓海	よしだ たくみ	男	海中学校	水泳部
10	山本 梓	やまもと あずさ	女	空中学校	帰宅部
11	林 健一	はやし けんいち	男	北中学校	テニス部
12	加藤 明日香	かとう あすか	女	南中学校	バレーボール部
13	福田 啓介	ふくだ けいすけ	男	東中学校	バスケットボール部
14	大野 紗希	おおの さき	女	西中学校	軽音楽部
15	木村 隆	きむら たかし	男	第五中学校	卓球部
16	井上 菜々子	いのうえ ななこ	女	第六中学校	バドミントン部
17	松本 裕太	まつもと ゆうた	男	中央中学校	剣道部
18	山口 遥	やまぐち はるか	女	星中学校	茶道部
19	石田 隼人	いしだ はやと	男	陽中学校	柔道部
20	佐々木 萌	ささき もえ	女	月中学校	漫画研究部
21	池田 健太	いけだ けんた	男	太陽中学校	囲碁将棋部
22	森本 莉子	もりもと りこ	女	花中学校	写真部
23	橋本 大地	はしもと だいち	男	草中学校	ボランティア部
24	小川 絢香	おがわ あやか	女	樹中学校	園芸部
25	中島 悠真	なかじま ゆうま	男	葉中学校	パソコン部
26	藤田 梨奈	ふじた りな	女	川中学校	文芸部
27	岡田 誠	おかだ まこと	男	桜中学校	科学部
28	長谷川 優奈	はせがわ ゆうな	女	青葉中学校	演劇部
29	宮崎 陽斗	みやざき はると	男	緑ヶ丘中学校	天文部
30	西村 楓	にしむら かえで	女	泉中学校	コーラス部
31	高橋 渉	たかはし わたる	男	若葉中学校	書道部
32	三浦 彩乃	みうら あやの	女	光中学校	手芸部
33	原田 涼太	はらだ りょうた	男	山中学校	鉄道研究部
34	大塚 菜月	おおつか なつき	女	川中学校	放送部
35	横山 健太郎	よこやま けんたろう	男	海中学校	軽音楽部
36	吉村 美緒	よしむら みお	女	空中学校	茶道部
37	河野 颯太	こうの そうた	男	北中学校	テニス部
38	松井 優花	まつい ゆか	女	南中学校	バレーボール部
39	坂本 健二	さかもと けんじ	男	東中学校	バスケットボール部
40	山崎 詩織	やまざき しおり	女	西中学校	吹奏楽部
